ubigeo,departamento,provincia,distrito,anio,n_empresas,n_denuncias,n_llamadas,n_camaras,denuncias_por_1k_emp,llamadas_por_1k_emp,camaras_por_1k_emp
70104,PROV. CONST. DEL CALLAO,CALLAO,LA PERLA,2021,1585,74,0,0,46.68769716088328,0,0
70104,PROV. CONST. DEL CALLAO,CALLAO,LA PERLA,2022,1585,75,0,0,47.3186119873817,0,0
70104,PROV. CONST. DEL CALLAO,CALLAO,LA PERLA,2023,1585,73,0,0,46.056782334384856,0,0
70104,PROV. CONST. DEL CALLAO,CALLAO,LA PERLA,2024,1585,81,0,0,50.53627760252366,0,0
70104,PROV. CONST. DEL CALLAO,CALLAO,LA PERLA,2025,1585,56,0,0,35.33123028391167,0,0
70105,CALLAO,CALLAO,LA PUNTA,2018,384,0,0,0,0,0,0
70105,CALLAO,CALLAO,LA PUNTA,2019,384,0,0,0,0,0,0
70105,CALLAO,CALLAO,LA PUNTA,2020,384,0,0,0,0,0,0
70105,CALLAO,CALLAO,LA PUNTA,2021,384,0,0,0,0,0,0
70105,CALLAO,CALLAO,LA PUNTA,2022,384,0,0,0,0,0,0
70105,CALLAO,CALLAO,LA PUNTA,2023,384,0,0,0,0,0,0
70105,CALLAO,CALLAO,LA PUNTA,2024,384,0,0,0,0,0,0
70105,CALLAO,CALLAO,LA PUNTA,2025,384,0,0,0,0,0,0
70105,PROV. CONST. DEL CALLAO,CALLAO,LA PUNTA,2018,384,45,0,0,117.1875,0,0
70105,PROV. CONST. DEL CALLAO,CALLAO,LA PUNTA,2019,384,48,0,0,125,0,0
70105,PROV. CONST. DEL CALLAO,CALLAO,LA PUNTA,2020,384,35,0,0,91.14583333333333,0,0
70105,PROV. CONST. DEL CALLAO,CALLAO,LA PUNTA,2021,384,33,0,0,85.9375,0,0
70105,PROV. CONST. DEL CALLAO,CALLAO,LA PUNTA,2022,384,45,0,0,117.1875,0,0
70105,PROV. CONST. DEL CALLAO,CALLAO,LA PUNTA,2023,384,50,0,0,129.42708333333334,0,0
70105,PROV. CONST. DEL CALLAO,CALLAO,LA PUNTA,2024,384,42,0,0,109.375,0,0
70105,PROV. CONST. DEL CALLAO,CALLAO,LA PUNTA,2025,384,31,0,0,80.72916666666667,0,0
70106,CALLAO,CALLAO,VENTANILLA,2018,16975,0,0,0,0,0,0
70106,CALLAO,CALLAO,VENTANILLA,2019,16975,0,0,0,0,0,0
70106,CALLAO,CALLAO,VENTANILLA,2020,16975,0,0,0,0,0,0
70106,CALLAO,CALLAO,VENTANILLA,2021,16975,0,0,0,0,0,0
70106,CALLAO,CALLAO,VENTANILLA,2022,16975,0,0,0,0,0,0
70106,CALLAO,CALLAO,VENTANILLA,2023,16975,0,0,0,0,0,0
70106,CALLAO,CALLAO,VENTANILLA,2024,16975,0,0,0,0,0,0
70106,CALLAO,CALLAO,VENTANILLA,2025,16975,0,0,0,0,0,0
70106,PROV. CONST. DEL CALLAO,CALLAO,VENTANILLA,2018,16975,77,0,0,4.536082474226804,0,0
70106,PROV. CONST. DEL CALLAO,CALLAO,VENTANILLA,2019,16975,82,0,0,4.830633284241531,0,0
70106,PROV. CONST. DEL CALLAO,CALLAO,VENTANILLA,2020,16975,78,0,0,4.594992636229749,0,0
70106,PROV. CONST. DEL CALLAO,CALLAO,VENTANILLA,2021,16975,80,0,0,4.712812960235641,0,0
70106,PROV. CONST. DEL CALLAO,CALLAO,VENTANILLA,2022,16975,81,0,0,4.771723122238586,0,0
70106,PROV. CONST. DEL CALLAO,CALLAO,VENTANILLA,2023,16975,84,0,0,4.930780559646539,0,0
70106,PROV. CONST. DEL CALLAO,CALLAO,VENTANILLA,2024,16975,82,0,0,4.830633284241531,0,0
70106,PROV. CONST. DEL CALLAO,CALLAO,VENTANILLA,2025,16975,56,0,0,3.2989690721649483,0,0
70107,CALLAO,CALLAO,MI PERU,2018,2081,0,0,0,0,0,0
70107,CALLAO,CALLAO,MI PERU,2019,2081,0,0,0,0,0,0
70107,CALLAO,CALLAO,MI PERU,2020,2081,0,0,0,0,0,0
70107,CALLAO,CALLAO,MI PERU,2021,2081,0,0,0,0,0,0
70107,CALLAO,CALLAO,MI PERU,2022,2081,0,0,0,0,0,0
70107,CALLAO,CALLAO,MI PERU,2023,2081,0,0,0,0,0,0
70107,CALLAO,CALLAO,MI PERU,2024,2081,0,0,0,0,0,0
70107,CALLAO,CALLAO,MI PERU,2025,2081,0,0,0,0,0,0
70107,PROV. CONST. DEL CALLAO,CALLAO,MI PERU,2018,2081,56,0,0,26.91013935607881,0,0
70107,PROV. CONST. DEL CALLAO,CALLAO,MI PERU,2019,2081,56,0,0,26.91013935607881,0,0
70107,PROV. CONST. DEL CALLAO,CALLAO,MI PERU,2020,2081,48,0,0,23.065833733781837,0,0
70107,PROV. CONST. DEL CALLAO,CALLAO,MI PERU,2021,2081,50,0,0,24.02691013935608,0,0
70107,PROV. CONST. DEL CALLAO,CALLAO,MI PERU,2022,2081,57,0,0,27.39067755886593,0,0
70107,PROV. CONST. DEL CALLAO,CALLAO,MI PERU,2023,2081,70,0,0,32.84478616049976,0,0
70107,PROV. CONST. DEL CALLAO,CALLAO,MI PERU,2024,2081,59,0,0,28.351753964440174,0,0
70107,PROV. CONST. DEL CALLAO,CALLAO,MI PERU,2025,2081,24,0,0,11.532916866890918,0,0
